PLAYERS LEAGUE PODCAST  —  WEEK 1 RUNDOWN
generated 2026-08-29  ·  6 matchups  ·  season 2026

1  ·  WELCOME BACK

,Guest,
,Cold open / notes,
,This week's storylines,
,,Closest game: Christian vs Peter (~2 pts apart)
,,Biggest mismatch: Noah vs John (~11 pts)
,,Most loaded roster: Logan (~124 projected)

2  ·  AWARD PREDICTIONS

,Award,Pick,Owner,Why
,Fantasy MVP,Ja'Marr Chase,Doug,doug drafted a cheat code and now he's gonna spend all season chasing everybody's mom around the standings.
,Rookie of the Year,Jeremiyah Love,Logan,logan's gonna be making sweet Love in the desert all year and we all gotta watch.
,Comeback Player,Rashee Rice,CJ,"CJ finally getting his Rice cooked to perfection, and yes he's serving it hot and sticky."
,Bust,Kenneth Walker III,Adam,adam took a Walker in round 2 and he's gonna need one himself by week 6 limping to 4-10.
,Sleeper,Jordyn Tyson,Noah,round 11 Tyson is gonna knock somebody's teeth out and noah will finally stop FIENDING.

3  ·  POWER RANKINGS

,#,Team,Owner,Take
,1,Uncut Cokerr,Adam,"adam drafted like he had the answer key, 93 is filthy behavior."
,2,The Basement Of KK,Peter,peter's roster is stacked enough to make the rest of us peter out.
,3,The Aura Farm,Christian,"christian built a holy trinity of studs, amen brother."
,4,Achane Smokin CiGarretts,Noah,"noah's got two of every position, the ark is FULL baby."
,5,Runnin' Rezac,Logan,"logan's squad is quietly nasty, like the guy who never talks at the party."
,6,PA Dive Your Way,Kaleb,"the basement of KK is loaded, watch your ankles down there."
,7,Burrowed Treasure,CJ,"easy as a b c d e f g h i j for CJ, he stalled out right before the L."
,8,Pukachu,John,"john's roster is fine, and fine is the meanest word in fantasy football."
,9,Ashton Powers,Mitchell,mitch's roster still makes me a little horny but the draft grade is limp.
,10,A Slap in the Face,Isaac,dougs a teacher but he skipped his own draft class this year.
,11,Joey Lunchbox,Leif,"leif is gonna fall off the tree by week 6, that's just science."
,12,Amon that inhaler,Grant,"grant took his C+ home and told his mom it was a B, we all saw it."

4  ·  MATCHUPS

GAME 1,Thursday Night,SF @ LAR,proj favorite: John
,Away,Achane Smokin Cigs,Noah,112 proj  ·  0-0
,Home,Puka Chu I Choose You,John,123 proj  ·  0-0
,PREDICTION,john's out here throwing pokeballs while noah's out back on a smoke break. puka gonna use hyper beam and noah starts 0-1 FIENDING again.

GAME 2,Sunday Noon,NYJ @ TEN,proj favorite: Kaleb
,Away,Chase Me Daddy,Isaac,119 proj  ·  0-0
,Home,Jeanty Genie,Kaleb,121 proj  ·  0-0
,PREDICTION,"doug brought a slap, kaleb brought three wishes. i'm rubbing the jeanty lamp and taking kaleb by a hair — sorry doug, that's a slap in YOUR face."

GAME 3,Sunday Noon,TB @ CIN,proj favorite: Grant
,Away,Amon-Ra Puff Puff,Grant,120 proj  ·  0-0
,Home,Burrowed Alive,CJ,116 proj  ·  0-0
,PREDICTION,"grant's got the sun god and an inhaler, cj's got a QB who plays behind a screen door. grant digs up the treasure, buries cj in it. call it a burrow-ial."

GAME 4,Sunday Afternoon,WSH @ PHI,proj favorite: Logan
,Away,Uncut Jaxon,Adam,116 proj  ·  0-0
,Home,Saquon Bacon,Logan,124 proj  ·  0-0
,PREDICTION,"adam's got the gems but logan's got saquon and JJ sizzling like bacon on a sunday. adam gets cooked, logan gets breakfast in bed."

GAME 5,Sunday Night,DAL @ NYG,proj favorite: Christian
,Away,Aura Farmers Market,Christian,117 proj  ·  0-0
,Home,Basement Dwellers,Peter,115 proj  ·  0-0
,PREDICTION,"christian's aura is undefeated but bijan and lamar live rent free in KK's basement. gonna be a close one, i'll take christian by a nose hair — the aura is FARMING tonight."

GAME 6,Monday Night,DEN @ KC,proj favorite: Mitchell
,Away,Joey Lunchmeat,Leif,117 proj  ·  0-0
,Home,Ashton Powers Baby,Mitchell,123 proj  ·  0-0
,PREDICTION,"leif's roster looks like a 2019 hall of fame ballot and mitch's makes me horny babayyyy. gibbs cooks that lunchbox, mitchell wins by a mile. yeah baby."


5  ·  HOT SEAT

,(starts with the Week 4 podcast)

REFERENCE  ·  raw matchup data

,Matchup,NFL slot,Proj,NFL game
,Noah vs John,Thursday Night,112-123,SF @ LAR
,Isaac vs Kaleb,Sunday Noon,119-121,NYJ @ TEN
,Grant vs CJ,Sunday Noon,120-116,TB @ CIN
,Adam vs Logan,Sunday Afternoon,116-124,WSH @ PHI
,Christian vs Peter,Sunday Night,117-115,DAL @ NYG
,Leif vs Mitchell,Monday Night,117-123,DEN @ KC
