PLAYERS LEAGUE PODCAST  —  WEEK 2 RUNDOWN
generated 2026-09-15  ·  6 matchups  ·  season 2026

1  ·  WELCOME BACK

,Guest,
,Cold open / notes,
,This week's storylines,
,,Closest game: John vs Grant (~1 pts apart)
,,Biggest mismatch: Logan vs Leif (~8 pts)
,,Most loaded roster: Leif (~128 projected)

2  ·  AWARD PREDICTIONS

,Award,Pick,Owner,Why
,Fantasy MVP,TBD,TBD,[dry]
,Rookie of the Year,TBD,TBD,[dry]
,Comeback Player,TBD,TBD,[dry]
,Bust,TBD,TBD,[dry]
,Sleeper,TBD,TBD,[dry]

3  ·  POWER RANKINGS

,#,Team,Owner,Take
,1,Uncut Cokerr,Adam,[dry]
,2,The Aura Farm,Christian,[dry]
,3,The Basement Of KK,Peter,[dry]
,4,Achane Smokin CiGarretts,Noah,[dry]
,5,Runnin' Rezac,Logan,[dry]
,6,PA Dive Your Way,Kaleb,[dry]
,7,Burrowed Treasure,CJ,[dry]
,8,Amon that inhaler,Grant,[dry]
,9,A Slap in the Face,Isaac,[dry]
,10,Pukachu,John,[dry]
,11,Joey Lunchbox,Leif,[dry]
,12,Finding Nico,Mitchell,[dry]

4  ·  PLAYERS & NOTES TO WATCH

,Highest projected this week,
,,"Jahmyr Gibbs — RB, DET, 24 pts (Mitchell)"
,,"Josh Allen — QB, BUF, 23 pts (Leif)"
,,"Bijan Robinson — RB, ATL, 23 pts (Peter)"
,,"Christian McCaffrey — RB, SF, 22 pts (Leif)"
,,"Puka Nacua — WR, LAR, 21 pts (John)"
,,"Brock Purdy — QB, SF, 20 pts (Adam)"
,On bye (starter down),none
,Banged up,none flagged

"5  ·  MATCHUPS   (best games get prime time, snoozers get Sunday noon)"

GAME 1,Sunday Night,(marquee game of the week),proj favorite: Adam,biggest NFL game: WSH @ DAL
,Christianco,Christian,117 proj · 0-1,"CeeDee Lamb (WR-DAL, 18)  |  Jordan Love (QB-GB, 16)  |  Chase Brown (RB-CIN, 15)  |  DeVonta Smith (WR-PHI, 14)"
,Adamco,Adam,124 proj · 1-0,"Brock Purdy (QB-SF, 20)  |  Jaxon Smith-Njigba (WR-SEA, 18)  |  Kenneth Walker III (RB-KC, 18)  |  Chris Olave (WR-NO, 16)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 2,Monday Night,(primetime),proj favorite: Kaleb,biggest NFL game: IND @ KC
,Kalebco,Kaleb,117 proj · 1-0,"Justin Herbert (QB-LAC, 19)  |  Ashton Jeanty (RB-LV, 18)  |  Breece Hall (RB-NYJ, 16)  |  Drake London (WR-ATL, 16)"
,CJco,CJ,116 proj · 1-0,"Jonathan Taylor (RB-IND, 18)  |  Joe Burrow (QB-CIN, 17)  |  Rashee Rice (WR-KC, 15)  |  Chuba Hubbard (RB-CAR, 14)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 3,Thursday Night,(primetime),proj favorite: Mitchell,biggest NFL game: WSH @ DAL
,Peterco,Peter,115 proj · 1-0,"Bijan Robinson (RB-ATL, 23)  |  Lamar Jackson (QB-BAL, 20)  |  George Pickens (WR-DAL, 15)  |  Tee Higgins (WR-CIN, 12)"
,Mitchellco,Mitchell,121 proj · 0-1,"Jahmyr Gibbs (RB-DET, 24)  |  Jaxson Dart (QB-NYG, 19)  |  Nico Collins (WR-HOU, 16)  |  DJ Moore (WR-BUF, 12)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 4,Sunday Afternoon,(solid undercard),proj favorite: Leif,biggest NFL game: SEA @ ARI
,Loganco,Logan,120 proj · 0-1,"Jalen Hurts (QB-PHI, 20)  |  Justin Jefferson (WR-MIN, 18)  |  Saquon Barkley (RB-PHI, 17)  |  Tetairoa McMillan (WR-CAR, 14)"
,Leifco,Leif,128 proj · 1-0,"Josh Allen (QB-BUF, 23)  |  Christian McCaffrey (RB-SF, 22)  |  Derrick Henry (RB-BAL, 17)  |  David Montgomery (RB-HOU, 14)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 5,Sunday Noon,(snoozer),proj favorite: Noah,biggest NFL game: PIT @ NE
,Isaacco,Isaac,117 proj · 0-1,"Ja'Marr Chase (WR-CIN, 19)  |  Bo Nix (QB-DEN, 18)  |  Javonte Williams (RB-DAL, 17)  |  Malik Nabers (WR-NYG, 15)"
,Noahco,Noah,121 proj · 0-1,"Drake Maye (QB-NE, 18)  |  De'Von Achane (RB-MIA, 17)  |  James Cook III (RB-BUF, 16)  |  Garrett Wilson (WR-NYJ, 15)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 6,Sunday Noon,(snoozer),proj favorite: Grant,biggest NFL game: NYG @ LAR
,Johnco,John,120 proj · 1-0,"Puka Nacua (WR-LAR, 21)  |  Caleb Williams (QB-CHI, 19)  |  Brock Bowers (TE-LV, 15)  |  Trey McBride (TE-ARI, 14)"
,Grantco,Grant,121 proj · 0-1,"Amon-Ra St. Brown (WR-DET, 20)  |  Baker Mayfield (QB-TB, 17)  |  Omarion Hampton (RB-LAC, 16)  |  Zay Flowers (WR-BAL, 15)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD


6  ·  HOT SEAT

,(starts with the Week 4 podcast)

REFERENCE  ·  raw matchup data

,Matchup,NFL slot,Proj,NFL game
,Isaac vs Noah,Sunday Noon,117-121,PIT @ NE
,John vs Grant,Sunday Noon,120-121,NYG @ LAR
,Kaleb vs CJ,Monday Night,117-116,IND @ KC
,Christian vs Adam,Sunday Night,117-124,WSH @ DAL
,Logan vs Leif,Sunday Afternoon,120-128,SEA @ ARI
,Peter vs Mitchell,Thursday Night,115-121,WSH @ DAL

REFERENCE  ·  rosters with draft round (Team of the Week block)

,Owner,Player,Pos,NFL,Draft Rd.,Proj
,Isaac,Ja'Marr Chase,WR,CIN,1,19
,Isaac,Bo Nix,QB,DEN,10,18
,Isaac,Javonte Williams,RB,DAL,2,17
,Isaac,Malik Nabers,WR,NYG,3,15
,Isaac,Malik Willis,QB,MIA,14,14
,Isaac,Terry McLaurin,WR,WSH,4,12
,Isaac,Cam Skattebo,RB,NYG,5,12
,Isaac,DK Metcalf,WR,PIT,6,11
,Isaac,Jaylen Warren,RB,PIT,7,11
,Isaac,Dalton Kincaid,TE,BUF,12,10
,Isaac,T.J. Hockenson,TE,MIN,11,10
,Isaac,Wan'Dale Robinson,WR,TEN,8,10
,Isaac,Jakobi Meyers,WR,JAX,9,10
,Isaac,Adonai Mitchell,WR,NYJ,13,9
,Isaac,Chris Boswell,K,PIT,15,8
,Isaac,Lions D/ST,D/ST,DET,16,4
,Noah,Drake Maye,QB,NE,5,18
,Noah,De'Von Achane,RB,MIA,2,17
,Noah,James Cook III,RB,BUF,1,16
,Noah,Garrett Wilson,WR,NYJ,3,15
,Noah,Rhamondre Stevenson,RB,NE,7,13
,Noah,Mike Evans,WR,SF,6,12
,Noah,Colston Loveland,TE,CHI,4,11
,Noah,Romeo Doubs,WR,NE,10,11
,Noah,Michael Wilson,WR,ARI,9,10
,Noah,Josh Downs,WR,IND,8,9
,Noah,Tyjae Spears,RB,TEN,12,9
,Noah,Brenton Strange,TE,JAX,13,8
,Noah,Ray Davis,RB,BUF,14,2
,Noah,Jordyn Tyson,WR,NO,11,0
,Noah,Eddy Pineiro,K,SF,15,10
,Noah,Patriots D/ST,D/ST,NE,16,7
,Noah,Titans D/ST,D/ST,TEN,FA/waiver,4
,John,Puka Nacua,WR,LAR,1,21
,John,Caleb Williams,QB,CHI,7,19
,John,Matthew Stafford,QB,LAR,13,18
,John,Brock Bowers,TE,LV,2,15
,John,Trey McBride,TE,ARI,3,14
,John,D'Andre Swift,RB,CHI,5,14
,John,Kyren Williams,RB,LAR,4,14
,John,Quentin Johnston,WR,LAC,8,10
,John,Brian Thomas Jr.,WR,JAX,6,9
,John,Blake Corum,RB,LAR,9,9
,John,Makai Lemon,WR,PHI,10,9
,John,Dontayvion Wicks,WR,PHI,FA/waiver,8
,John,Keaton Mitchell,RB,LAC,12,8
,John,Chris Bell,WR,MIA,FA/waiver,7
,John,Michael Mayer,TE,LV,FA/waiver,6
,John,Cam Little,K,JAX,14,8
,John,Jaguars D/ST,D/ST,JAX,16,4
,Grant,Amon-Ra St. Brown,WR,DET,1,20
,Grant,Baker Mayfield,QB,TB,13,17
,Grant,Omarion Hampton,RB,LAC,2,16
,Grant,Zay Flowers,WR,BAL,3,15
,Grant,Jadarian Price,RB,SEA,5,13
,Grant,Christian Watson,WR,GB,6,12
,Grant,Jaylen Waddle,WR,DEN,4,12
,Grant,Tony Pollard,RB,TEN,7,11
,Grant,Dallas Goedert,TE,PHI,11,11
,Grant,Jacory Croskey-Merritt,RB,WSH,8,10
,Grant,Chris Godwin Jr.,WR,TB,9,10
,Grant,Juwan Johnson,TE,NO,14,9
,Grant,Tank Bigsby,RB,PHI,12,3
,Grant,Kyler Murray,QB,MIN,10,0
,Grant,Harrison Mevis,K,LAR,15,10
,Grant,Ravens D/ST,D/ST,BAL,16,7
,Kaleb,Justin Herbert,QB,LAC,8,19
,Kaleb,Ashton Jeanty,RB,LV,1,18
,Kaleb,Jared Goff,QB,DET,14,17
,Kaleb,Breece Hall,RB,NYJ,3,16
,Kaleb,Drake London,WR,ATL,2,16
,Kaleb,Ladd McConkey,WR,LAC,4,14
,Kaleb,Carnell Tate,WR,TEN,5,11
,Kaleb,RJ Harvey,RB,DEN,9,10
,Kaleb,Harold Fannin Jr.,TE,CLE,6,10
,Kaleb,Jordan Addison,WR,MIN,7,10
,Kaleb,KC Concepcion,WR,CLE,10,9
,Kaleb,Keenan Allen,WR,IND,12,9
,Kaleb,Tre Tucker,WR,LV,15,8
,Kaleb,Kenyon Sadiq,TE,NYJ,11,8
,Kaleb,Harrison Butker,K,KC,16,10
,Kaleb,Vikings D/ST,D/ST,MIN,13,4
,CJ,Jonathan Taylor,RB,IND,1,18
,CJ,Joe Burrow,QB,CIN,6,17
,CJ,Rashee Rice,WR,KC,2,15
,CJ,Tyler Shough,QB,NO,14,15
,CJ,Chuba Hubbard,RB,CAR,8,14
,CJ,Emeka Egbuka,WR,TB,4,14
,CJ,Parker Washington,WR,JAX,7,12
,CJ,Quinshon Judkins,RB,CLE,3,12
,CJ,MarShawn Lloyd,RB,GB,FA/waiver,12
,CJ,Alec Pierce,WR,IND,9,11
,CJ,Jake Ferguson,TE,DAL,10,10
,CJ,Devaughn Vele,WR,NO,FA/waiver,9
,CJ,TreVeyon Henderson,RB,NE,5,9
,CJ,Isiah Pacheco,RB,DET,11,0
,CJ,Zach Charbonnet,RB,SEA,12,0
,CJ,Ka'imi Fairbairn,K,HOU,13,10
,CJ,Steelers D/ST,D/ST,PIT,15,6
,Christian,CeeDee Lamb,WR,DAL,1,18
,Christian,Jordan Love,QB,GB,14,16
,Christian,Trevor Lawrence,QB,JAX,7,16
,Christian,Chase Brown,RB,CIN,2,15
,Christian,DeVonta Smith,WR,PHI,4,14
,Christian,Travis Etienne Jr.,RB,NO,3,13
,Christian,Jameson Williams,WR,DET,6,12
,Christian,Deebo Samuel Sr.,WR,SF,9,12
,Christian,Aaron Jones Sr.,RB,MIN,10,11
,Christian,George Kittle,TE,SF,8,10
,Christian,Khalil Shakir,WR,BUF,11,10
,Christian,Bhayshul Tuten,RB,JAX,5,9
,Christian,Chig Okonkwo,TE,WSH,16,8
,Christian,Dylan Sampson,RB,CLE,15,5
,Christian,Brandon Aubrey,K,DAL,12,11
,Christian,Seahawks D/ST,D/ST,SEA,13,8
,Adam,Brock Purdy,QB,SF,12,20
,Adam,Jayden Daniels,QB,WSH,7,19
