PLAYERS LEAGUE PODCAST  —  WEEK 3 RUNDOWN
generated 2026-09-21  ·  6 matchups  ·  season 2026

1  ·  WELCOME BACK

,Guest,
,Cold open / notes,
,This week's storylines,
,,Closest game: Noah vs Grant (~1 pts apart)
,,Biggest mismatch: Adam vs Leif (~9 pts)
,,Most loaded roster: Adam (~133 projected)

2  ·  AWARD PREDICTIONS

,Award,Pick,Owner,Why
,Fantasy MVP,TBD,TBD,[dry]
,Rookie of the Year,TBD,TBD,[dry]
,Comeback Player,TBD,TBD,[dry]
,Bust,TBD,TBD,[dry]
,Sleeper,TBD,TBD,[dry]

3  ·  POWER RANKINGS

,#,Team,Owner,Take
,1,Uncut Cokerr,Adam,[dry]
,2,The Basement Of KK,Peter,[dry]
,3,The Aura Farm,Christian,[dry]
,4,Achane Smokin CiGarretts,Noah,[dry]
,5,Runnin' Rezac,Logan,[dry]
,6,Burrowed Treasure,CJ,[dry]
,7,Pukachu,John,[dry]
,8,PA Dive Your Way,Kaleb,[dry]
,9,Amon that inhaler,Grant,[dry]
,10,A Slap in the Face,Isaac,[dry]
,11,Joey Lunchbox,Leif,[dry]
,12,Finding Nico,Mitchell,[dry]

4  ·  PLAYERS & NOTES TO WATCH

,Highest projected this week,
,,"Jahmyr Gibbs — RB, DET, 26 pts (Mitchell)"
,,"Josh Allen — QB, BUF, 23 pts (Leif)"
,,"Christian McCaffrey — RB, SF, 22 pts (Leif)"
,,"Lamar Jackson — QB, BAL, 21 pts (Peter)"
,,"Jaxon Smith-Njigba — WR, SEA, 21 pts (Adam)"
,,"Jaxson Dart — QB, NYG, 21 pts (Mitchell)"
,On bye (starter down),none
,Banged up,"Kyler Murray (QB — OUT, Grant), Zay Flowers (WR — OUT, Grant), Brock Bowers (TE — OUT, John), Nico Collins (WR — OUT, Mitchell), Michael Pittman Jr. (WR — OUT, Logan)"

"5  ·  MATCHUPS   (best games get prime time, snoozers get Sunday noon)"

GAME 1,Sunday Night,(marquee game of the week),proj favorite: Logan,biggest NFL game: PHI @ CHI
,Peterco,Peter,110 proj · 1-0,"Lamar Jackson (QB-BAL, 21)  |  Bijan Robinson (RB-ATL, 20)  |  George Pickens (WR-DAL, 14)  |  Tee Higgins (WR-CIN, 13)"
,Loganco,Logan,117 proj · 0-1,"Jalen Hurts (QB-PHI, 20)  |  Justin Jefferson (WR-MIN, 18)  |  Saquon Barkley (RB-PHI, 18)  |  Tetairoa McMillan (WR-CAR, 14)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 2,Monday Night,(primetime),proj favorite: Adam,biggest NFL game: ARI @ SF
,Adamco,Adam,133 proj · 1-0,"Jaxon Smith-Njigba (WR-SEA, 21)  |  Brock Purdy (QB-SF, 20)  |  Kenneth Walker III (RB-KC, 19)  |  Chris Olave (WR-NO, 18)"
,Leifco,Leif,124 proj · 1-0,"Josh Allen (QB-BUF, 23)  |  Christian McCaffrey (RB-SF, 22)  |  Derrick Henry (RB-BAL, 17)  |  Davante Adams (WR-LAR, 13)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 3,Thursday Night,(primetime),proj favorite: CJ,biggest NFL game: CIN @ PIT
,CJco,CJ,123 proj · 1-0,"Tyler Shough (QB-NO, 19)  |  Jonathan Taylor (RB-IND, 18)  |  Rashee Rice (WR-KC, 15)  |  Parker Washington (WR-JAX, 15)"
,Isaacco,Isaac,122 proj · 0-1,"Ja'Marr Chase (WR-CIN, 18)  |  Bo Nix (QB-DEN, 17)  |  Cam Skattebo (RB-NYG, 15)  |  Malik Nabers (WR-NYG, 15)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 4,Sunday Afternoon,(solid undercard),proj favorite: Kaleb,biggest NFL game: LAR @ DEN
,Kalebco,Kaleb,121 proj · 1-0,"Ashton Jeanty (RB-LV, 19)  |  Justin Herbert (QB-LAC, 18)  |  Breece Hall (RB-NYJ, 17)  |  Drake London (WR-ATL, 15)"
,Johnco,John,115 proj · 1-0,"Puka Nacua (WR-LAR, 20)  |  Trey McBride (TE-ARI, 16)  |  Matthew Stafford (QB-LAR, 16)  |  Brock Bowers (TE-LV, 14) [O]"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 5,Sunday Noon,(snoozer),proj favorite: Grant,biggest NFL game: NE @ JAX
,Noahco,Noah,122 proj · 0-1,"De'Von Achane (RB-MIA, 20)  |  Drake Maye (QB-NE, 19)  |  James Cook III (RB-BUF, 17)  |  Garrett Wilson (WR-NYJ, 15)"
,Grantco,Grant,123 proj · 0-1,"Amon-Ra St. Brown (WR-DET, 20)  |  Kyler Murray (QB-MIN, 17) [O]  |  Zay Flowers (WR-BAL, 16) [O]  |  Omarion Hampton (RB-LAC, 15)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD

GAME 6,Sunday Noon,(snoozer),proj favorite: Christian,biggest NFL game: HOU @ IND
,Mitchellco,Mitchell,121 proj · 0-1,"Jahmyr Gibbs (RB-DET, 26)  |  Jaxson Dart (QB-NYG, 21)  |  Nico Collins (WR-HOU, 16) [O]  |  DJ Moore (WR-BUF, 12)"
,Christianco,Christian,123 proj · 0-1,"Jordan Love (QB-GB, 18)  |  CeeDee Lamb (WR-DAL, 17)  |  Chase Brown (RB-CIN, 16)  |  DeVonta Smith (WR-PHI, 16)"
,X-factor,[dry]
,talk about,[dry] point
,PREDICTION,[dry] pick TBD


6  ·  HOT SEAT

,(starts with the Week 4 podcast)

REFERENCE  ·  raw matchup data

,Matchup,NFL slot,Proj,NFL game
,Noah vs Grant,Sunday Noon,122-123,NE @ JAX
,CJ vs Isaac,Thursday Night,123-122,CIN @ PIT
,Kaleb vs John,Sunday Afternoon,121-115,LAR @ DEN
,Adam vs Leif,Monday Night,133-124,ARI @ SF
,Mitchell vs Christian,Sunday Noon,121-123,HOU @ IND
,Peter vs Logan,Sunday Night,110-117,PHI @ CHI

REFERENCE  ·  rosters with draft round (Team of the Week block)

,Owner,Player,Pos,NFL,Draft Rd.,Proj
,Noah,De'Von Achane,RB,MIA,2,20
,Noah,Drake Maye,QB,NE,5,19
,Noah,James Cook III,RB,BUF,1,17
,Noah,Garrett Wilson,WR,NYJ,3,15
,Noah,Mike Evans,WR,SF,6,12
,Noah,Rhamondre Stevenson,RB,NE,7,12
,Noah,Michael Wilson,WR,ARI,9,12
,Noah,Colston Loveland,TE,CHI,4,10
,Noah,Tyjae Spears,RB,TEN,12,10
,Noah,Josh Downs,WR,IND,8,9
,Noah,Brenton Strange,TE,JAX,13,8
,Noah,Malachi Fields,WR,NYG,FA/waiver,6
,Noah,Pat Bryant,WR,DEN,FA/waiver,6
,Noah,Jordyn Tyson,WR,NO,11,0
,Noah,Eddy Pineiro,K,SF,15,10
,Noah,49ers D/ST,D/ST,SF,FA/waiver,7
,Noah,Patriots D/ST,D/ST,NE,16,5
,Grant,Amon-Ra St. Brown,WR,DET,1,20
,Grant,Kyler Murray,QB,MIN,10,17
,Grant,Zay Flowers,WR,BAL,3,16
,Grant,Baker Mayfield,QB,TB,13,16
,Grant,Omarion Hampton,RB,LAC,2,15
,Grant,Jadarian Price,RB,SEA,5,15
,Grant,Christian Watson,WR,GB,6,15
,Grant,Jaylen Waddle,WR,DEN,4,13
,Grant,Dallas Goedert,TE,PHI,11,11
,Grant,Tony Pollard,RB,TEN,7,10
,Grant,Juwan Johnson,TE,NO,14,9
,Grant,Chris Godwin Jr.,WR,TB,9,9
,Grant,Jacory Croskey-Merritt,RB,WSH,8,9
,Grant,Emari Demercado,RB,DAL,FA/waiver,4
,Grant,Tank Bigsby,RB,PHI,12,3
,Grant,Harrison Mevis,K,LAR,15,9
,Grant,Ravens D/ST,D/ST,BAL,16,5
,CJ,Tyler Shough,QB,NO,14,19
,CJ,Jonathan Taylor,RB,IND,1,18
,CJ,Joe Burrow,QB,CIN,6,16
,CJ,Rashee Rice,WR,KC,2,15
,CJ,Parker Washington,WR,JAX,7,15
,CJ,Quinshon Judkins,RB,CLE,3,14
,CJ,Chuba Hubbard,RB,CAR,8,14
,CJ,Emeka Egbuka,WR,TB,4,12
,CJ,Devaughn Vele,WR,NO,FA/waiver,11
,CJ,Alec Pierce,WR,IND,9,11
,CJ,TreVeyon Henderson,RB,NE,5,10
,CJ,Hunter Henry,TE,NE,FA/waiver,10
,CJ,MarShawn Lloyd,RB,GB,FA/waiver,9
,CJ,Jake Ferguson,TE,DAL,10,8
,CJ,Zach Charbonnet,RB,SEA,12,0
,CJ,Ka'imi Fairbairn,K,HOU,13,10
,CJ,Steelers D/ST,D/ST,PIT,15,7
,Isaac,Ja'Marr Chase,WR,CIN,1,18
,Isaac,Bo Nix,QB,DEN,10,17
,Isaac,Cam Skattebo,RB,NYG,5,15
,Isaac,Malik Nabers,WR,NYG,3,15
,Isaac,Javonte Williams,RB,DAL,2,15
,Isaac,Malik Willis,QB,MIA,14,14
,Isaac,Jaylen Warren,RB,PIT,7,14
,Isaac,DK Metcalf,WR,PIT,6,12
,Isaac,Terry McLaurin,WR,WSH,4,12
,Isaac,Dalton Kincaid,TE,BUF,12,12
,Isaac,Adonai Mitchell,WR,NYJ,13,11
,Isaac,Jakobi Meyers,WR,JAX,9,9
,Isaac,T.J. Hockenson,TE,MIN,11,9
,Isaac,Wan'Dale Robinson,WR,TEN,8,8
,Isaac,Chris Boswell,K,PIT,15,9
,Isaac,Lions D/ST,D/ST,DET,16,6
,Kaleb,Ashton Jeanty,RB,LV,1,19
,Kaleb,Justin Herbert,QB,LAC,8,18
,Kaleb,Jared Goff,QB,DET,14,17
,Kaleb,Breece Hall,RB,NYJ,3,17
,Kaleb,Drake London,WR,ATL,2,15
,Kaleb,Ladd McConkey,WR,LAC,4,14
,Kaleb,Carnell Tate,WR,TEN,5,12
,Kaleb,KC Concepcion,WR,CLE,10,11
,Kaleb,Jordan Addison,WR,MIN,7,11
,Kaleb,Harold Fannin Jr.,TE,CLE,6,10
,Kaleb,Tre Tucker,WR,LV,15,10
,Kaleb,RJ Harvey,RB,DEN,9,10
,Kaleb,Keenan Allen,WR,IND,12,8
,Kaleb,Kenyon Sadiq,TE,NYJ,11,8
,Kaleb,Harrison Butker,K,KC,16,9
,Kaleb,Vikings D/ST,D/ST,MIN,13,7
,John,Puka Nacua,WR,LAR,1,20
,John,Trey McBride,TE,ARI,3,16
,John,Matthew Stafford,QB,LAR,13,16
,John,Brock Bowers,TE,LV,2,14
,John,Kyren Williams,RB,LAR,4,12
,John,D'Andre Swift,RB,CHI,5,12
,John,Brian Thomas Jr.,WR,JAX,6,11
,John,Quentin Johnston,WR,LAC,8,11
,John,Dontayvion Wicks,WR,PHI,FA/waiver,9
,John,Blake Corum,RB,LAR,9,8
,John,Emmett Johnson,RB,KC,FA/waiver,7
,John,Michael Mayer,TE,LV,FA/waiver,6
,John,Makai Lemon,WR,PHI,10,6
,John,Keaton Mitchell,RB,LAC,12,5
,John,Caleb Williams,QB,CHI,7,0
,John,Cam Little,K,JAX,14,9
,John,Jaguars D/ST,D/ST,JAX,16,5
,Adam,Jaxon Smith-Njigba,WR,SEA,1,21
,Adam,Brock Purdy,QB,SF,12,20
,Adam,Kenneth Walker III,RB,KC,2,19
,Adam,Chris Olave,WR,NO,3,18
,Adam,Bucky Irving,RB,TB,4,16
,Adam,Jalen Coker,WR,CAR,10,13
,Adam,Sam LaPorta,TE,DET,6,11
,Adam,Rico Dowdle,RB,PIT,8,11
,Adam,Mark Andrews,TE,BAL,11,10
,Adam,Rome Odunze,WR,CHI,5,10
,Adam,Kenny Gainwell,RB,TB,9,8
,Adam,Antonio Williams,WR,WSH,FA/waiver,5
,Adam,George Holani,RB,SEA,FA/waiver,2
,Adam,Jayden Daniels,QB,WSH,7,0
,Adam,Will Reichard,K,MIN,14,9
,Adam,Eagles D/ST,D/ST,PHI,15,6
,Leif,Josh Allen,QB,BUF,3,23
,Leif,Christian McCaffrey,RB,SF,1,22
,Leif,Patrick Mahomes,QB,KC,13,19
,Leif,Derrick Henry,RB,BAL,2,17
,Leif,Davante Adams,WR,LAR,4,13
,Leif,David Montgomery,RB,HOU,5,12
